answers,latex,level,備考
int,$\int$,easy,
sqrt,$\sqrt{{\color{lightgray} x}}$,easy,
infty,$\infty $,easy,
"le,leq",$\leq$,easy,
"ge,geq",$\ge$,easy,
"ne,neq",$\ne$,easy,
sum,$\sum_{\color{lightgray} i=1}^{\color{lightgray} n}$,easy,
alpha,$\alpha$,easy,
Delta,$\Delta$,easy,
pi,$\pi$,easy,
times,${\color{lightgray} a} \times {\color{lightgray} b}$,easy,
div,${\color{lightgray} a} \div{\color{lightgray} b}$,easy,
cdot,${\color{lightgray} a} \cdot {\color{lightgray} b}$,easy,
in,$\in$,easy,
subset,$\subset$,easy,
supset,$\supset$,easy,
cup,$\cup$,easy,
cap,$\cap$,easy,
Rightarrow,$\Rightarrow$,easy,
Leftarrow,$\Leftarrow$,easy,
Leftrightarrow,$\Leftrightarrow$,easy,
angle,$\angle$,easy,
flat,$\flat$,easy,
natural,$\natural$,easy,
sharp,$\sharp$,easy,
forall,$\forall$,medium,
exists,$\exists$,medium,
"neg,lnot",$\neg$,medium,
forall,$\forall$,medium,
exists,$\exists$,medium,
approx,$\approx$,medium,
bigodot,${\color{lightgray} a} \bigodot {\color{lightgray} b}$,medium,
pm,${\color{lightgray} a} \pm {\color{lightgray} b}$,medium,
prod,$\prod_{{\color{lightgray} i=1}}^{{\color{lightgray} n}}$,medium,
"lor,vee",$\lor$,medium,
"land,wedge",$\land$,medium,
Gamma,$\Gamma$,medium,
Theta,$\Theta$,medium,
sim,$\sim$,medium,
geqq,$\geqq$,medium,
leqq,$\leqq$,medium,
mapsto,$\mapsto$,medium,
"coloneqq,coloneq",$\coloneqq$,medium,
varphi,$\varphi$,medium,
xi,$\xi$,medium,
nu,$\nu$,medium,
varepsilon,$\varepsilon$,medium,
Xi,$\Xi$,medium,
rho,$\rho$,medium,
partial,$\partial$,medium,
nabla,$\nabla$,medium,
"rightarrow,to",$\rightarrow$,medium,
Psi,$\Psi$,medium,
emptyset,$\emptyset$,medium,
therefore,$\therefore$,medium,
"leftarrow,gets",$\leftarrow$,medium,
S,$\S$,medium,
succ,$\succ$,hard,
prec,$\prec$,hard,
P,$\P$,medium,
"dag,dagger",$\dag$,medium,
equiv,$\equiv$,medium,
because,$\because$,medium,
varpi,$\varpi$,hard,
varkappa,$\varkappa$,hard,
lll,$\lll$,hard,
Upsilon,$\Upsilon$,hard,
ggg,$\ggg$,hard,
Bumpeq,$\Bumpeq$,hard,
wp,$\wp$,hard,
eth,$\eth$,hard,
Im,$\Im$,hard,
daleth,$\daleth$,hard,
gimel,$\gimel$,hard,
aleph,$\aleph$,hard,
Re,$\Re$,hard,
beth,$\beth$,hard,
looparrowright,$\looparrowright$,hard,
mho,$\mho$,hard,
ell,$\ell$,hard,
maltese,$\maltese$,hard,
AA,$\AA$,hard,
Bbbk,$\Bbbk$,hard,
looparrowleft,$\looparrowleft$,hard,
